ID,Crop,Type,Harvest Method,Soil Type,Climate,Days to Harvest,Height (cm),Weight (kg),Watering (L/week),N (kg/ha),P (kg/ha),K (kg/ha),Ca (kg/ha),Mg (kg/ha),Fe (kg/ha),pH,EC (dS/m),Yield (kg/ha),Spacing (cm),Notes
"1","Tomato","Fruit","Hand-picked","Loamy","Warm","70","100","0.2","20","150","30","200","40","30","10","6","1.5","80","50","Needs staking",
"2","Cauliflower","Vegetable","Cut from base","Sandy-loam","Cool","75","60","1","15","200","50","180","50","20","8","6.5","1","100","45","Prefers full sun",
"3","Radish","Root","Pull from soil","Loamy","Cool","30","30","0.05","10","80","15","90","20","10","5","6.8","0.8","300","15","Fast-growing",
"4","Zucchini","Fruit","Cut from stem","Well-drained","Warm","50","90","0.5","25","120","25","150","30","15","7","6","1.2","150","90","Regular harvesting",
"5","Garlic","Bulb","Hand-picked","Fertile","Warm","90","45","0.05","12","60","10","50","20","5","2","6","0.7","60","15","Plant in fall",
"6","Onion","Bulb","Hand-picked","Sandy-loam","Mild","100","70","0.15","20","100","30","160","30","10","6","6.2","1","80","15","Can be stored",
"7","Potato","Tuber","Dig up","Loamy","Cool","90","60","0.1","30","120","30","180","30","20","4","5.5","0.9","300","30","Needs hilling",
"8","Sweet Corn","Cereal","Cut from stalk","Fertile","Warm","90","200","0.25","50","200","20","120","30","15","5","6","1.2","800","30","Needs full sun",
"9","Peas","Legume","Pull from vine","Loamy","Cool","60","90","0.03","10","80","20","50","15","5","3","6.5","0.5","200","10","Frost-sensitive",
"10","Pumpkin","Fruit","Cut from vine","Loamy","Warm","90","150","0.7","40","100","30","200","40","15","6","6","1","600","100","Needs space",
"11","Beet","Root","Pull from soil","Loamy","Cool","60","40","0.1","15","90","20","100","30","15","4","6.8","0.6","300","15","Tolerates frost",
"12","Lettuce","Leafy green","Cut leaves","Sandy-loam","Cool","30","30","0.02","5","50","10","30","10","5","1","6","0.4","400","25","Fast-growing",
"13","Kale","Leafy green","Cut leaves","Loamy","Cool","60","60","0.1","20","100","25","50","20","5","2","6.5","0.5","250","30","Nutritious",
"14","Chard","Leafy green","Cut leaves","Loamy","Warm","50","60","0.1","20","80","15","60","20","5","2","6.2","0.5","350","30","Tolerates heat",
"15","Cabbage","Leafy green","Cut heads","Sandy-loam","Cool","70","45","1","15","120","30","150","40","20","6","6.5","1","500","30","Prefers full sun",
"16","Parsley","Herb","Cut leaves","Loamy","Mild","70","40","0.05","10","70","15","40","10","5","2","6.5","0.3","200","25","Flavorful herb",
"17","Radicchio","Leafy green","Cut heads","Loamy","Cool","90","40","0.3","15","100","20","30","10","5","2","6","0.5","150","25","Bitter flavor",
"18","Fennel","Bulb","Cut bulb","Loamy","Mild","90","80","0.2","15","80","15","40","10","5","3","6.5","0.4","300","30","Aromatic herb",
"19","Asparagus","Perennial","Cut spears","Sandy-loam","Mild","120","150","0.1","20","100","20","40","20","10","3","7","0.5","200","30","Needs time to establish",
"20","Artichoke","Perennial","Cut buds","Loamy","Mild","180","120","0.3","15","100","25","50","15","5","2","6.5","0.4","300","40","Requires space",
"21","Blackberry","Fruit","Hand-picked","Loamy","Warm","60","200","0.1","25","70","15","60","20","5","2","6","0.4","400","30","Needs trellising",
"22","Raspberry","Fruit","Hand-picked","Sandy-loam","Cool","60","150","0.05","20","50","10","30","10","5","1","6.5","0.3","300","25","Needs support",
"23","Spinach","Leafy green","Cut leaves","Loamy","Cool","30","30","0.02","10","50","10","30","10","5","1","6","0.4","400","20","Fast-growing",
"24","Blueberry","Fruit","Hand-picked","Acidic, sandy","Mild","150","150","0.1","15","50","15","20","10","5","3","4.5","0.3","150","90","Needs acidic soil",
"25","Lemon","Fruit","Hand-picked","Loamy","Warm","200","150","0.5","40","100","20","50","30","10","5","6","0.5","800","30","Full sun preferred",
"26","Lime","Fruit","Hand-picked","Loamy","Warm","200","120","0.5","40","100","20","50","30","10","5","6","0.5","600","30","Needs good drainage",
"27","Orange","Fruit","Hand-picked","Sandy-loam","Warm","250","150","0.2","50","120","30","70","30","10","5","6","0.7","800","30","Requires space",
"28","Grapefruit","Fruit","Hand-picked","Sandy-loam","Warm","250","150","0.3","50","120","30","70","30","10","5","6","0.7","700","30","Needs full sun",
"29","Watermelon","Fruit","Hand-picked","Sandy-loam","Warm","80","200","0.5","70","100","20","60","30","10","5","6","0.8","900","90","Space needed",
"30","Cantaloupe","Fruit","Hand-picked","Sandy-loam","Warm","80","90","0.5","60","100","20","50","30","10","4","6","0.7","800","90","Full sun preferred",
"31","Honeydew","Fruit","Hand-picked","Sandy-loam","Warm","90","90","0.5","60","100","20","50","30","10","4","6","0.7","700","90","Needs space",
"32","Peach","Fruit","Hand-picked","Loamy","Warm","150","150","0.3","40","120","30","70","30","10","4","6","0.5","500","50","Needs good drainage",
"33","Plum","Fruit","Hand-picked","Loamy","Warm","150","150","0.2","40","120","30","70","30","10","4","6","0.5","600","50","Needs good drainage",
"34","Cucumber","Fruit","Hand-picked","Loamy","Warm","60","100","0.2","30","100","20","60","20","10","2","6","0.7","400","30","Regular harvesting",
"35","Cherry","Fruit","Hand-picked","Loamy","Warm","150","150","0.1","25","100","20","50","20","10","4","6","0.5","600","30","Needs good drainage",
"36","Apricot","Fruit","Hand-picked","Loamy","Warm","150","150","0.3","40","120","30","70","30","10","4","6","0.5","400","50","Needs good drainage",
"37","Banana","Fruit","Hand-picked","Loamy","Warm","365","200","0.5","60","150","40","80","30","20","6","5.5","0.8","600","100","Needs full sun",
"38","Fig","Fruit","Hand-picked","Sandy-loam","Warm","120","180","0.3","50","100","20","70","20","10","4","6","0.5","300","30","Needs good drainage",
"39","Avocado","Fruit","Hand-picked","Loamy","Warm","180","200","0.6","40","200","40","70","30","15","5","6","0.5","600","100","Needs full sun",
"40","Coconut","Fruit","Hand-picked","Sandy-loam","Tropical","300","150","1.5","80","150","30","60","20","10","3","7","0.5","200","200","Needs humidity",
"41","Durian","Fruit","Hand-picked","Loamy","Tropical","150","150","2","100","200","30","70","20","10","5","6","0.5","400","150","Strong smell",
"42","Jackfruit","Fruit","Hand-picked","Loamy","Tropical","200","200","1.5","100","200","30","70","20","10","5","6","0.5","400","200","Large fruit",
"43","Mango","Fruit","Hand-picked","Loamy","Tropical","150","150","0.5","80","150","30","70","30","10","5","6","0.5","600","100","Needs full sun",
"44","Papaya","Fruit","Hand-picked","Loamy","Tropical","180","180","0.6","80","150","30","70","30","10","5","6","0.5","800","100","Needs humidity",
"45","Bell Pepper","Fruit","Hand-picked","Loamy","Warm","75","60","0.1","20","80","20","30","10","5","3","6","0.5","250","30","Needs full sun",
"46","Pomegranate","Fruit","Hand-picked","Loamy","Warm","180","150","0.5","60","100","20","70","30","10","5","6","0.5","600","50","Needs space",
"47","Eggplant","Fruit","Hand-picked","Loamy","Warm","75","90","0.25","25","120","30","50","20","10","3","6","0.5","350","30","Needs full sun",
"48","Carrot","Root","Pull from soil","Loamy","Cool","75","45","0.05","15","90","20","100","30","10","3","6","0.6","400","20","Sweet flavor",
"49","Strawberry","Fruit","Hand-picked","Loamy","Mild","60","30","0.05","10","60","15","30","10","5","1","6","0.4","300","30","Requires mulch",
"50","Broccoli","Vegetable","Cut from base","Loamy","Cool","60","60","0.15","20","120","30","150","40","30","10","6","1.5","700","30","Prefers full sun and regular watering."